Building token similarity matrix (traits)...

Processed 0/9995 tokens, 124 pairs
Processed 100/9995 tokens, 9904 pairs
Processed 200/9995 tokens, 18612 pairs
Processed 300/9995 tokens, 28433 pairs
Processed 400/9995 tokens, 36621 pairs
Processed 500/9995 tokens, 44692 pairs
Processed 600/9995 tokens, 53129 pairs
Processed 700/9995 tokens, 62173 pairs
Processed 800/9995 tokens, 72011 pairs
Processed 900/9995 tokens, 80565 pairs
Processed 1000/9995 tokens, 88673 pairs
Processed 1100/9995 tokens, 96699 pairs
Processed 1200/9995 tokens, 104979 pairs
Processed 1300/9995 tokens, 112825 pairs
Processed 1400/9995 tokens, 120526 pairs
Processed 1500/9995 tokens, 128531 pairs
Processed 1600/9995 tokens, 137149 pairs
Processed 1700/9995 tokens, 145767 pairs
Processed 1800/9995 tokens, 153297 pairs
Processed 1900/9995 tokens, 160993 pairs
Processed 2000/9995 tokens, 168949 pairs
Processed 2100/9995 tokens, 176584 pairs
Processed 2200/9995 tokens, 184518 pairs
Processed 2300/9995 tokens, 191507 pairs
Processed 2400/9995 tokens, 198919 pairs
Processed 2500/9995 tokens, 205013 pairs
Processed 2600/9995 tokens, 211976 pairs
Processed 2700/9995 tokens, 219014 pairs
Processed 2800/9995 tokens, 226058 pairs
Processed 2900/9995 tokens, 232315 pairs
Processed 3000/9995 tokens, 239805 pairs
Processed 3100/9995 tokens, 246030 pairs
Processed 3200/9995 tokens, 252367 pairs
Processed 3300/9995 tokens, 257962 pairs
Processed 3400/9995 tokens, 264386 pairs
Processed 3500/9995 tokens, 270636 pairs
Processed 3600/9995 tokens, 276204 pairs
Processed 3700/9995 tokens, 282406 pairs
Processed 3800/9995 tokens, 288335 pairs
Processed 3900/9995 tokens, 294301 pairs
Processed 4000/9995 tokens, 299580 pairs
Processed 4100/9995 tokens, 305224 pairs
Processed 4200/9995 tokens, 310447 pairs
Processed 4300/9995 tokens, 315621 pairs
Processed 4400/9995 tokens, 320957 pairs
Processed 4500/9995 tokens, 326544 pairs
Processed 4600/9995 tokens, 331979 pairs
Processed 4700/9995 tokens, 336930 pairs
Processed 4800/9995 tokens, 341911 pairs
Processed 4900/9995 tokens, 346152 pairs
Processed 5000/9995 tokens, 351075 pairs
Processed 5100/9995 tokens, 355491 pairs
Processed 5200/9995 tokens, 360068 pairs
Processed 5300/9995 tokens, 364502 pairs
Processed 5400/9995 tokens, 368844 pairs
Processed 5500/9995 tokens, 373740 pairs
Processed 5600/9995 tokens, 377414 pairs
Processed 5700/9995 tokens, 381154 pairs
Processed 5800/9995 tokens, 385399 pairs
Processed 5900/9995 tokens, 390118 pairs
Processed 6000/9995 tokens, 394415 pairs
Processed 6100/9995 tokens, 397921 pairs
Processed 6200/9995 tokens, 401387 pairs
Processed 6300/9995 tokens, 404969 pairs
Processed 6400/9995 tokens, 408101 pairs
Processed 6500/9995 tokens, 411391 pairs
Processed 6600/9995 tokens, 414872 pairs
Processed 6700/9995 tokens, 417876 pairs
Processed 6800/9995 tokens, 421206 pairs
Processed 6900/9995 tokens, 424260 pairs
Processed 7000/9995 tokens, 427551 pairs
Processed 7100/9995 tokens, 429693 pairs
Processed 7200/9995 tokens, 432254 pairs
Processed 7300/9995 tokens, 434783 pairs
Processed 7400/9995 tokens, 437358 pairs
Processed 7500/9995 tokens, 439613 pairs
Processed 7600/9995 tokens, 441687 pairs
Processed 7700/9995 tokens, 443879 pairs
Processed 7800/9995 tokens, 446243 pairs
Processed 7900/9995 tokens, 448311 pairs
Processed 8000/9995 tokens, 450441 pairs
Processed 8100/9995 tokens, 452461 pairs
Processed 8200/9995 tokens, 454113 pairs
Processed 8300/9995 tokens, 455697 pairs
Processed 8400/9995 tokens, 457327 pairs
Processed 8500/9995 tokens, 458741 pairs
Processed 8600/9995 tokens, 460083 pairs
Processed 8700/9995 tokens, 461186 pairs
Processed 8800/9995 tokens, 462329 pairs
Processed 8900/9995 tokens, 463504 pairs
Processed 9000/9995 tokens, 464657 pairs
Processed 9100/9995 tokens, 465451 pairs
Processed 9200/9995 tokens, 466209 pairs
Processed 9300/9995 tokens, 467008 pairs
Processed 9400/9995 tokens, 467587 pairs
Processed 9500/9995 tokens, 468113 pairs
Processed 9600/9995 tokens, 468548 pairs
Processed 9700/9995 tokens, 468946 pairs
Processed 9800/9995 tokens, 469169 pairs
Processed 9900/9995 tokens, 469297 pairs
Similarity matrix built: 469338 similarities
Found 0 high-similarity clusters
